Record ID,Geological Group ID,CV Block ID,target,model_score,score_type,prediction,threshold,threshold_status,repeat,outer_fold,model,parameter_hash,analysis_protocol_hash,optimizer_converged,optimizer_iterations,optimizer_fit_cycles
R0970,GG0041,CVB0038,1,0.697163073618387,predict_proba,1,0.45999999999999996,constraints_met,1,1,RF,f6eaa8254f4b2d2bc62a7945af87d62804b2bd8f985aed0baeff452631f62f8b,9eb1905b0d2d4dff99236976201e564cbe25ee258ba901ad38107c5c6b5846f0,True,0,1
R0971,GG0041,CVB0038,1,0.6831557697680861,predict_proba,1,0.45999999999999996,constraints_met,1,1,RF,f6eaa8254f4b2d2bc62a7945af87d62804b2bd8f985aed0baeff452631f62f8b,9eb1905b0d2d4dff99236976201e564cbe25ee258ba901ad38107c5c6b5846f0,True,0,1
R0972,GG0041,CVB0038,1,0.595089048610318,predict_proba,1,0.45999999999999996,constraints_met,1,1,RF,f6eaa8254f4b2d2bc62a7945af87d62804b2bd8f985aed0baeff452631f62f8b,9eb1905b0d2d4dff99236976201e564cbe25ee258ba901ad38107c5c6b5846f0,True,0,1
R0973,GG0041,CVB0038,1,0.5206368178539441,predict_proba,1,0.45999999999999996,constraints_met,1,1,RF,f6eaa8254f4b2d2bc62a7945af87d62804b2bd8f985aed0baeff452631f62f8b,9eb1905b0d2d4dff99236976201e564cbe25ee258ba901ad38107c5c6b5846f0,True,0,1
R0974,GG0041,CVB0038,1,0.73368254138039,predict_proba,1,0.45999999999999996,constraints_met,1,1,RF,f6eaa8254f4b2d2bc62a7945af87d62804b2bd8f985aed0baeff452631f62f8b,9eb1905b0d2d4dff99236976201e564cbe25ee258ba901ad38107c5c6b5846f0,True,0,1
R0975,GG0041,CVB0038,1,0.5237158714368959,predict_proba,1,0.45999999999999996,constraints_met,1,1,RF,f6eaa8254f4b2d2bc62a7945af87d62804b2bd8f985aed0baeff452631f62f8b,9eb1905b0d2d4dff99236976201e564cbe25ee258ba901ad38107c5c6b5846f0,True,0,1
R0976,GG0041,CVB0038,1,0.7389855961228801,predict_proba,1,0.45999999999999996,constraints_met,1,1,RF,f6eaa8254f4b2d2bc62a7945af87d62804b2bd8f985aed0baeff452631f62f8b,9eb1905b0d2d4dff99236976201e564cbe25ee258ba901ad38107c5c6b5846f0,True,0,1
R0977,GG0041,CVB0038,1,0.7353793068140915,predict_proba,1,0.45999999999999996,constraints_met,1,1,RF,f6eaa8254f4b2d2bc62a7945af87d62804b2bd8f985aed0baeff452631f62f8b,9eb1905b0d2d4dff99236976201e564cbe25ee258ba901ad38107c5c6b5846f0,True,0,1
R0978,GG0041,CVB0038,1,0.6598628395636194,predict_proba,1,0.45999999999999996,constraints_met,1,1,RF,f6eaa8254f4b2d2bc62a7945af87d62804b2bd8f985aed0baeff452631f62f8b,9eb1905b0d2d4dff99236976201e564cbe25ee258ba901ad38107c5c6b5846f0,True,0,1
R0979,GG0041,CVB0038,1,0.6980063941709065,predict_proba,1,0.45999999999999996,constraints_met,1,1,RF,f6eaa8254f4b2d2bc62a7945af87d62804b2bd8f985aed0baeff452631f62f8b,9eb1905b0d2d4dff99236976201e564cbe25ee258ba901ad38107c5c6b5846f0,True,0,1
