model,Geological Group ID,target,cv_block,model_score,model_score_mean_sensitivity,model_score_sd,score_type,positive_vote_fraction,prediction
SVM,GG0086,0,CVB0082,0.13387915308270404,0.14257401435098482,0.01782282781437536,monotonic_transformed_decision_score_not_calibrated,0.0,0
SVM,GG0087,0,CVB0083,0.3699229965356665,0.35056585857083844,0.05453245610897332,monotonic_transformed_decision_score_not_calibrated,0.3333333333333333,0
SVM,GG0088,0,CVB0084,0.211224797310504,0.15543968513981773,0.106962851045836,monotonic_transformed_decision_score_not_calibrated,0.0,0
SVM,GG0089,0,CVB0085,0.1595198435064392,0.15630210642112405,0.05078769346028903,monotonic_transformed_decision_score_not_calibrated,0.0,0
SVM,GG0090,0,CVB0086,0.3961365938619769,0.41564102810573683,0.06998927453557235,monotonic_transformed_decision_score_not_calibrated,0.3333333333333333,0
SVM,GG0091,0,CVB0087,0.27093402090206403,0.23354684516499016,0.06578256090548186,monotonic_transformed_decision_score_not_calibrated,0.0,0
SVM,GG0092,0,CVB0088,0.3125150448386573,0.3140249345362876,0.04091709762935525,monotonic_transformed_decision_score_not_calibrated,0.0,0
SVM,GG0093,0,CVB0089,0.3369964861400098,0.31884067292946766,0.044773262542554794,monotonic_transformed_decision_score_not_calibrated,0.0,0
SVM,GG0094,0,CVB0090,0.2909037596095953,0.3195083246783546,0.12414412139681778,monotonic_transformed_decision_score_not_calibrated,0.3333333333333333,0
SVM,GG0095,0,CVB0091,0.33862519927563167,0.3564124467327115,0.049087326141395,monotonic_transformed_decision_score_not_calibrated,0.0,0
SVM,GG0096,0,CVB0092,0.777849755641344,0.7609968073498257,0.03098381292735559,monotonic_transformed_decision_score_not_calibrated,1.0,1
SVM,GG0097,0,CVB0093,0.31516899802507603,0.3477109332025006,0.08864943801431233,monotonic_transformed_decision_score_not_calibrated,0.3333333333333333,0
SVM,GG0098,0,CVB0094,0.23228155175301812,0.23934518184817086,0.0486430196960074,monotonic_transformed_decision_score_not_calibrated,0.0,0
SVM,GG0099,0,CVB0095,0.6824669115001446,0.6497791963691181,0.1320191387866899,monotonic_transformed_decision_score_not_calibrated,1.0,1
SVM,GG0100,0,CVB0096,0.25046182415190005,0.20799295874454518,0.08236117919378072,monotonic_transformed_decision_score_not_calibrated,0.0,0
SVM,GG0101,0,CVB0097,0.12045880737027218,0.11910751937067736,0.04805284523840205,monotonic_transformed_decision_score_not_calibrated,0.0,0
SVM,GG0102,0,CVB0098,0.5769556298862555,0.5819857405862127,0.06616498610202647,monotonic_transformed_decision_score_not_calibrated,1.0,1
SVM,GG0103,0,CVB0099,0.18930851747642347,0.18138823923954964,0.08669901627389905,monotonic_transformed_decision_score_not_calibrated,0.0,0
SVM,GG0104,0,CVB0100,0.28724815235645934,0.29085454537733313,0.07270289612267312,monotonic_transformed_decision_score_not_calibrated,0.0,0
SVM,GG0105,0,CVB0101,0.07917087193419385,0.11571462447777477,0.09858656415090211,monotonic_transformed_decision_score_not_calibrated,0.0,0
SVM,GG0106,0,CVB0102,0.11058938816812847,0.10175230315689893,0.023599539204989656,monotonic_transformed_decision_score_not_calibrated,0.0,0
SVM,GG0107,0,CVB0103,0.27188474442070226,0.23937517802006414,0.06531609182162158,monotonic_transformed_decision_score_not_calibrated,0.0,0
SVM,GG0108,0,CVB0104,0.29546449959917526,0.30735936356266236,0.05313498112007409,monotonic_transformed_decision_score_not_calibrated,0.0,0
SVM,GG0109,0,CVB0105,0.29097483369750227,0.27855908841373594,0.026948455992435047,monotonic_transformed_decision_score_not_calibrated,0.0,0
SVM,GG0110,0,CVB0106,0.06976967950942245,0.08246903821508056,0.027624399121973398,monotonic_transformed_decision_score_not_calibrated,0.0,0
SVM,GG0111,0,CVB0107,0.06113716286771553,0.11750887699083751,0.10757309608380547,monotonic_transformed_decision_score_not_calibrated,0.0,0
SVM,GG0112,0,CVB0108,0.2102461153421674,0.22413683447533936,0.03109186613516912,monotonic_transformed_decision_score_not_calibrated,0.0,0
SVM,GG0113,0,CVB0109,0.12290825798174404,0.15346623262960238,0.09154150593097575,monotonic_transformed_decision_score_not_calibrated,0.0,0
SVM,GG0114,0,CVB0110,0.3553872326565004,0.38903055738756437,0.06149834198297788,monotonic_transformed_decision_score_not_calibrated,0.6666666666666666,1
SVM,GG0115,0,CVB0111,0.2646829991110023,0.20970229964765338,0.09902117997909698,monotonic_transformed_decision_score_not_calibrated,0.0,0
SVM,GG0116,0,CVB0112,0.10299583456300535,0.10407165591582884,0.04751528191819982,monotonic_transformed_decision_score_not_calibrated,0.0,0
SVM,GG0117,0,CVB0113,0.08621962943026999,0.07643498866485295,0.04488311264861115,monotonic_transformed_decision_score_not_calibrated,0.0,0
SVM,GG0118,0,CVB0114,0.17161210320635434,0.15290650264916106,0.11765335418974728,monotonic_transformed_decision_score_not_calibrated,0.0,0
SVM,GG0119,0,CVB0115,0.3550996236696067,0.3419102625607147,0.03637068032684852,monotonic_transformed_decision_score_not_calibrated,0.3333333333333333,0
SVM,GG0120,0,CVB0116,0.20094124150320208,0.18267901828736324,0.07939762342632962,monotonic_transformed_decision_score_not_calibrated,0.0,0
SVM,GG0121,0,CVB0117,0.19979870279736933,0.191698668931045,0.018525102004277157,monotonic_transformed_decision_score_not_calibrated,0.0,0
SVM,GG0122,0,CVB0118,0.16277103159671685,0.14287584742356296,0.04331500440465875,monotonic_transformed_decision_score_not_calibrated,0.0,0
SVM,GG0123,0,CVB0119,0.26922234039274767,0.2471651705940147,0.04451446258046042,monotonic_transformed_decision_score_not_calibrated,0.0,0
SVM,GG0124,0,CVB0120,0.22654896648189934,0.2565207045377786,0.05753832386397656,monotonic_transformed_decision_score_not_calibrated,0.0,0
SVM,GG0125,0,CVB0121,0.04438812908089817,0.044536616003570915,0.04114165946447861,monotonic_transformed_decision_score_not_calibrated,0.0,0
SVM,GG0126,0,CVB0122,0.24008436549100198,0.22332410691081753,0.07139693158892325,monotonic_transformed_decision_score_not_calibrated,0.0,0
SVM,GG0127,0,CVB0123,0.17429961774290084,0.1763122257535186,0.046461135903835646,monotonic_transformed_decision_score_not_calibrated,0.0,0
SVM,GG0128,0,CVB0124,0.43140213729701077,0.3715407550855885,0.172384231058114,monotonic_transformed_decision_score_not_calibrated,0.3333333333333333,0
SVM,GG0129,0,CVB0125,0.24884616687342687,0.1962383838671583,0.10905175506195056,monotonic_transformed_decision_score_not_calibrated,0.0,0
XGBoost,GG0001,1,CVB0001,0.25389060378074646,0.3661706844965617,0.20817387889126596,predict_proba,0.3333333333333333,0
XGBoost,GG0002,0,CVB0002,0.002056105062365532,0.003340469324029982,0.0023908918381141393,predict_proba,0.0,0
XGBoost,GG0003,1,CVB0003,0.39292773604393005,0.49577100078264874,0.22209226565014037,predict_proba,0.3333333333333333,0
XGBoost,GG0004,0,CVB0004,0.0019834369886666536,0.0022119134082458913,0.0018074562499454643,predict_proba,0.0,0
XGBoost,GG0005,0,CVB0005,0.279457688331604,0.3305322304368019,0.26784460266283244,predict_proba,0.0,0
XGBoost,GG0006,0,CVB0006,0.5398658215999603,0.5530393371979395,0.24625579861985888,predict_proba,0.6666666666666666,1
XGBoost,GG0007,0,CVB0007,0.20249894261360168,0.19275632003943124,0.1044100835827614,predict_proba,0.0,0
XGBoost,GG0008,0,CVB0008,0.04872894287109375,0.04387727069358031,0.018436822795488212,predict_proba,0.0,0
XGBoost,GG0009,0,CVB0009,0.00013691357162315398,0.0001722898438553481,0.00014604491725988771,predict_proba,0.0,0
XGBoost,GG0010,1,CVB0010,0.9382050037384033,0.9369873205820719,0.011655153929800427,predict_proba,1.0,1
XGBoost,GG0012,1,CVB0012,0.013382756151258945,0.019983523059636354,0.015878474832252774,predict_proba,0.0,0
XGBoost,GG0013,1,CVB0013,0.343349426984787,0.35852084557215375,0.1414183314589128,predict_proba,1.0,1
XGBoost,GG0014,1,CVB0014,0.14829441905021667,0.1699695885181427,0.04473947048805107,predict_proba,0.0,0
XGBoost,GG0015,0,CVB0002,0.037729036062955856,0.036840775360663734,0.0034804194329485236,predict_proba,0.0,0
XGBoost,GG0016,1,CVB0015,0.4853673577308655,0.4657926758130391,0.04474132920607622,predict_proba,0.6666666666666666,1
XGBoost,GG0018,0,CVB0016,0.0003809936170000583,0.0004083231615368277,0.0003574484184356103,predict_proba,0.0,0
XGBoost,GG0019,0,CVB0017,0.00037814336246810853,0.0010267902786533039,0.001167886213882593,predict_proba,0.0,0
XGBoost,GG0020,1,CVB0018,0.3786222040653229,0.4017353653907776,0.049043813570855334,predict_proba,0.6666666666666666,1
